Datetime,Latitude,Longitude,Altitude,Speed (km/h),Course
2024-11-11 17:15:51,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:52,51.9873,5.664325,16.7,,0.0
2024-11-11 17:15:53,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:54,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:55,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:56,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:57,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:58,51.9873,5.664325,16.8,,0.0
2024-11-11 17:15:59,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:00,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:01,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:02,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:03,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:04,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:05,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:06,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:07,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:08,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:09,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:10,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:11,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:12,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:13,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:14,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:15,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:16,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:17,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:18,51.9873,5.664325,16.8,,0.0
2024-11-11 17:16:19,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:20,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:21,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:22,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:23,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:24,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:25,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:26,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:27,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:28,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:29,51.9873017,5.664325,16.8,,0.0
2024-11-11 17:16:30,51.9873017,5.664325,16.9,,0.0
2024-11-11 17:16:31,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:32,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:33,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:34,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:35,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:36,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:37,51.9873017,5.6643233,16.8,,0.0
2024-11-11 17:16:38,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:39,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:40,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:41,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:42,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:43,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:44,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:45,51.9873017,5.6643233,16.9,,0.0
2024-11-11 17:16:46,51.9873033,5.6643233,16.9,,0.0
2024-11-11 17:16:47,51.9873033,5.6643233,16.9,,0.0
2024-11-11 17:16:48,51.9873033,5.6643233,16.9,,0.0
2024-11-11 17:16:49,51.9873033,5.6643233,16.8,,0.0
2024-11-11 17:16:50,51.9873033,5.6643233,16.9,,0.0
