datetime,bin1,bin2,bin3,bin4
2024-11-11 17:08:02,79.0,2.477,0.288,0.0
2024-11-11 17:08:03,77.593,2.487,0.282,0.0
2024-11-11 17:08:04,76.809,2.499,0.282,0.0
2024-11-11 17:08:05,76.946,2.507,0.282,0.0
2024-11-11 17:08:06,77.244,2.509,0.282,0.0
2024-11-11 17:08:07,78.206,2.536,0.283,0.0
2024-11-11 17:08:08,79.129,2.524,0.283,0.0
2024-11-11 17:08:09,79.614,2.522,0.277,0.0
2024-11-11 17:08:10,79.944,2.523,0.272,0.0
2024-11-11 17:08:11,79.675,2.548,0.289,0.0
2024-11-11 17:08:12,78.838,2.551,0.29,0.0
2024-11-11 17:08:13,77.786,2.552,0.284,0.0
2024-11-11 17:08:14,76.866,2.544,0.29,0.0
2024-11-11 17:08:15,77.074,2.539,0.295,0.0
2024-11-11 17:08:16,78.449,2.537,0.306,0.0
2024-11-11 17:08:17,79.283,2.535,0.3,0.0
2024-11-11 17:08:18,79.7,2.538,0.295,0.0
2024-11-11 17:08:19,80.282,2.544,0.295,0.0
2024-11-11 17:08:20,80.276,2.537,0.295,0.0
2024-11-11 17:08:21,60.345,1.665,0.295,0.0
2024-11-11 17:08:22,60.63,1.74,0.147,0.0
2024-11-11 17:08:23,59.766,2.118,0.098,0.0
2024-11-11 17:08:24,54.021,2.345,0.147,0.0
2024-11-11 17:08:25,53.876,2.36,0.236,0.0
2024-11-11 17:08:26,51.259,2.218,0.295,0.0
2024-11-11 17:08:27,47.396,2.268,0.253,0.0
2024-11-11 17:08:28,44.139,2.306,0.258,0.0
2024-11-11 17:08:29,40.966,2.284,0.262,0.0
2024-11-11 17:08:30,37.979,2.252,0.236,0.0
2024-11-11 17:08:31,35.85,2.308,0.241,0.0
2024-11-11 17:08:32,33.894,2.304,0.27,0.0
2024-11-11 17:08:33,32.257,2.266,0.249,0.0
2024-11-11 17:08:34,30.821,2.234,0.252,0.0
2024-11-11 17:08:35,29.4,2.205,0.255,0.0
2024-11-11 17:08:36,28.387,2.228,0.239,0.0
2024-11-11 17:08:37,27.562,2.275,0.225,0.0
2024-11-11 17:08:38,26.681,2.299,0.213,0.0
2024-11-11 17:08:39,25.977,2.289,0.217,0.0
2024-11-11 17:08:40,25.338,2.25,0.236,0.0
2024-11-11 17:08:41,24.832,2.237,0.224,0.0
2024-11-11 17:08:42,24.706,2.21,0.214,0.0
2024-11-11 17:08:43,29.574,2.253,0.209,0.0
2024-11-11 17:08:44,,,,
2024-11-11 17:08:45,31.545,2.254,0.212,0.0
2024-11-11 17:08:46,31.579,2.255,0.227,0.0
2024-11-11 17:08:47,31.12,2.26,0.24,0.0
2024-11-11 17:08:48,30.508,2.255,0.242,0.0
2024-11-11 17:08:49,29.812,2.266,0.234,0.0
2024-11-11 17:08:50,29.189,2.281,0.245,0.0
2024-11-11 17:08:51,28.636,2.246,0.237,0.0
2024-11-11 17:08:52,28.11,2.266,0.239,0.0
2024-11-11 17:08:53,27.634,2.266,0.241,0.0
2024-11-11 17:08:54,27.233,2.261,0.251,0.0
2024-11-11 17:08:55,26.76,2.274,0.252,0.0
2024-11-11 17:08:56,26.444,2.282,0.262,0.0
2024-11-11 17:08:57,26.226,2.249,0.263,0.0
2024-11-11 17:08:58,25.989,2.238,0.271,0.0
2024-11-11 17:08:59,25.971,2.246,0.264,0.0
2024-11-11 17:09:00,27.531,2.247,0.265,0.0
2024-11-11 17:09:01,29.13,2.277,0.259,0.0
2024-11-11 17:09:02,30.714,2.284,0.266,0.0
2024-11-11 17:09:03,33.697,2.287,0.26,0.0
2024-11-11 17:09:04,36.522,2.294,0.254,0.0
2024-11-11 17:09:05,37.827,2.304,0.249,0.0
2024-11-11 17:09:06,39.418,2.28,0.243,0.0
2024-11-11 17:09:07,42.169,2.264,0.238,0.0
2024-11-11 17:09:08,44.668,2.268,0.239,0.0
2024-11-11 17:09:09,46.431,2.259,0.235,0.0
2024-11-11 17:09:10,47.099,2.298,0.23,0.0
2024-11-11 17:09:11,47.381,2.315,0.231,0.0
2024-11-11 17:09:12,47.519,2.309,0.232,0.0
2024-11-11 17:09:13,47.933,2.308,0.234,0.0
2024-11-11 17:09:14,50.44,2.319,0.235,0.0
2024-11-11 17:09:15,53.707,2.34,0.236,0.0
2024-11-11 17:09:16,55.869,2.339,0.237,0.0
2024-11-11 17:09:17,57.833,2.322,0.238,0.0
2024-11-11 17:09:18,61.133,2.319,0.244,0.0
2024-11-11 17:09:19,63.93,2.314,0.24,0.0
2024-11-11 17:09:20,65.004,2.311,0.251,0.0
2024-11-11 17:09:21,44.306,4.083,0.295,0.0
2024-11-11 17:09:22,32.719,3.4,0.147,0.0
2024-11-11 17:09:23,26.48,3.374,0.098,0.0
2024-11-11 17:09:24,22.641,2.794,0.147,0.0
2024-11-11 17:09:25,21.145,2.839,0.177,0.0
2024-11-11 17:09:26,26.246,2.845,0.245,0.0
2024-11-11 17:09:27,29.811,2.892,0.252,0.0
2024-11-11 17:09:28,32.21,2.644,0.295,0.0
2024-11-11 17:09:29,35.293,2.552,0.327,0.0
2024-11-11 17:09:30,37.069,2.584,0.295,0.0
2024-11-11 17:09:31,38.312,2.583,0.295,0.0
2024-11-11 17:09:32,39.829,2.582,0.27,0.0
2024-11-11 17:09:33,41.653,2.558,0.249,0.0
2024-11-11 17:09:34,43.02,2.548,0.253,0.0
2024-11-11 17:09:35,43.558,2.499,0.236,0.0
2024-11-11 17:09:36,43.273,2.428,0.239,0.0
2024-11-11 17:09:37,44.262,2.41,0.225,0.0
2024-11-11 17:09:38,45.398,2.394,0.278,0.0
2024-11-11 17:09:39,50.306,2.38,0.279,0.0
2024-11-11 17:09:40,56.949,2.383,0.28,0.0
2024-11-11 17:09:41,61.093,2.399,0.281,0.0
2024-11-11 17:09:42,64.562,2.373,0.282,0.0
2024-11-11 17:09:43,70.42,2.402,0.282,0.0
2024-11-11 17:09:44,,,,
2024-11-11 17:09:45,,,,
2024-11-11 17:09:46,,,,
2024-11-11 17:09:47,,,,
2024-11-11 17:09:48,,,,
2024-11-11 17:09:49,,,,
2024-11-11 17:09:50,,,,
2024-11-11 17:09:51,99.915,2.485,0.305,0.0
2024-11-11 17:09:52,98.194,2.473,0.305,0.0
2024-11-11 17:09:53,95.948,2.471,0.304,0.0
2024-11-11 17:09:54,94.823,2.47,0.296,0.0
2024-11-11 17:09:55,93.939,2.464,0.296,0.0
2024-11-11 17:09:56,92.309,2.467,0.287,0.0
2024-11-11 17:09:57,90.366,2.462,0.279,0.0
2024-11-11 17:09:58,90.071,2.489,0.295,0.0
2024-11-11 17:09:59,89.807,2.502,0.295,0.0
2024-11-11 17:10:00,88.678,2.493,0.288,0.0
2024-11-11 17:10:01,87.172,2.48,0.281,0.0
2024-11-11 17:10:02,85.457,2.489,0.274,0.0
2024-11-11 17:10:03,,,,
2024-11-11 17:10:04,82.211,2.465,0.268,0.0
2024-11-11 17:10:05,80.731,2.467,0.289,0.0
2024-11-11 17:10:06,79.354,2.476,0.282,0.0
2024-11-11 17:10:07,78.111,2.468,0.283,0.0
2024-11-11 17:10:08,77.338,2.455,0.277,0.0
2024-11-11 17:10:09,76.443,2.451,0.277,0.0
2024-11-11 17:10:10,75.375,2.453,0.272,0.0
2024-11-11 17:10:11,74.348,2.473,0.295,0.0
2024-11-11 17:10:12,73.978,2.498,0.29,0.0
2024-11-11 17:10:13,73.277,2.508,0.29,0.0
2024-11-11 17:10:14,72.47,2.49,0.284,0.0
2024-11-11 17:10:15,71.787,2.502,0.29,0.0
2024-11-11 17:10:16,71.113,2.498,0.29,0.0
2024-11-11 17:10:17,70.675,2.515,0.285,0.0
2024-11-11 17:10:18,70.632,2.519,0.285,0.0
2024-11-11 17:10:19,70.222,2.512,0.285,0.0
2024-11-11 17:10:20,69.97,2.531,0.28,0.0
2024-11-11 17:10:21,140.813,2.127,0.0,0.0
2024-11-11 17:10:22,125.305,2.277,0.148,0.0
2024-11-11 17:10:23,99.66,2.426,0.099,0.0
2024-11-11 17:10:24,82.399,2.234,0.074,0.0
2024-11-11 17:10:25,74.003,2.362,0.236,0.0
2024-11-11 17:10:26,68.158,2.422,0.246,0.0
2024-11-11 17:10:27,65.571,2.378,0.295,0.0
2024-11-11 17:10:28,64.121,2.27,0.332,0.0
2024-11-11 17:10:29,73.063,2.305,0.295,0.0
2024-11-11 17:10:30,88.943,2.288,0.266,0.0
2024-11-11 17:10:31,96.276,2.232,0.242,0.0
2024-11-11 17:10:32,97.819,2.186,0.246,0.0
2024-11-11 17:10:33,94.754,2.192,0.318,0.0
2024-11-11 17:10:34,90.296,2.165,0.295,0.0
2024-11-11 17:10:35,88.272,2.142,0.276,0.0
2024-11-11 17:10:36,88.754,2.178,0.295,0.0
2024-11-11 17:10:37,86.992,2.255,0.313,0.0
2024-11-11 17:10:38,85.735,2.273,0.345,0.0
2024-11-11 17:10:39,84.786,2.296,0.342,0.0
2024-11-11 17:10:40,84.361,2.318,0.325,0.0
2024-11-11 17:10:41,83.178,2.323,0.309,0.0
2024-11-11 17:10:42,81.039,2.334,0.309,0.0
2024-11-11 17:10:43,78.386,2.305,0.308,0.0
2024-11-11 17:10:44,76.462,2.328,0.332,0.0
2024-11-11 17:10:45,74.581,2.338,0.331,0.0
2024-11-11 17:10:46,72.534,2.341,0.329,0.0
2024-11-11 17:10:47,70.715,2.355,0.328,0.0
2024-11-11 17:10:48,68.858,2.341,0.337,0.0
2024-11-11 17:10:49,67.428,2.375,0.346,0.0
2024-11-11 17:10:50,66.144,2.401,0.344,0.0
2024-11-11 17:10:51,64.994,2.407,0.352,0.0
2024-11-11 17:10:52,64.383,2.407,0.36,0.0
2024-11-11 17:10:53,64.155,2.408,0.349,0.0
2024-11-11 17:10:54,63.36,2.43,0.356,0.0
2024-11-11 17:10:55,62.277,2.438,0.346,0.0
2024-11-11 17:10:56,61.096,2.442,0.336,0.0
2024-11-11 17:10:57,59.802,2.433,0.327,0.0
2024-11-11 17:10:58,58.728,2.456,0.334,0.0
2024-11-11 17:10:59,57.638,2.444,0.325,0.0
2024-11-11 17:11:00,56.597,2.462,0.317,0.0
2024-11-11 17:11:01,55.663,2.479,0.331,0.0
2024-11-11 17:11:02,54.719,2.489,0.323,0.0
2024-11-11 17:11:03,53.808,2.48,0.329,0.0
2024-11-11 17:11:04,52.986,2.458,0.322,0.0
2024-11-11 17:11:05,52.167,2.507,0.321,0.0
2024-11-11 17:11:06,51.484,2.505,0.314,0.0
2024-11-11 17:11:07,51.22,2.519,0.314,0.0
2024-11-11 17:11:08,51.102,2.508,0.326,0.0
2024-11-11 17:11:09,50.921,2.5,0.331,0.0
2024-11-11 17:11:10,50.38,2.486,0.324,0.0
2024-11-11 17:11:11,49.758,2.482,0.329,0.0
2024-11-11 17:11:12,49.061,2.478,0.329,0.0
2024-11-11 17:11:13,48.438,2.485,0.328,0.0
2024-11-11 17:11:14,47.855,2.492,0.328,0.0
2024-11-11 17:11:15,47.312,2.518,0.332,0.0
2024-11-11 17:11:16,47.095,2.495,0.326,0.0
2024-11-11 17:11:17,,,,
2024-11-11 17:11:18,,,,
2024-11-11 17:11:19,,,,
2024-11-11 17:11:20,,,,
2024-11-11 17:11:21,,,,
2024-11-11 17:11:22,,,,
2024-11-11 17:11:23,,,,
2024-11-11 17:11:24,,,,
2024-11-11 17:11:25,,,,
2024-11-11 17:11:26,,,,
2024-11-11 17:11:27,,,,
2024-11-11 17:11:28,,,,
2024-11-11 17:11:29,,,,
2024-11-11 17:11:30,,,,
2024-11-11 17:11:31,,,,
2024-11-11 17:11:32,,,,
2024-11-11 17:11:33,,,,
2024-11-11 17:11:34,,,,
2024-11-11 17:11:35,,,,
2024-11-11 17:11:36,,,,
2024-11-11 17:11:37,,,,
2024-11-11 17:11:38,,,,
2024-11-11 17:11:39,,,,
2024-11-11 17:11:40,,,,
2024-11-11 17:11:41,,,,
2024-11-11 17:11:42,71.258,2.312,0.335,0.0
2024-11-11 17:11:43,69.275,2.323,0.334,0.0
2024-11-11 17:11:44,68.15,2.34,0.32,0.0
2024-11-11 17:11:45,69.179,2.307,0.307,0.0
2024-11-11 17:11:46,69.15,2.265,0.295,0.0
2024-11-11 17:11:47,69.038,2.282,0.295,0.0
2024-11-11 17:11:48,68.574,2.287,0.316,0.0
2024-11-11 17:11:49,67.465,2.265,0.315,0.0
2024-11-11 17:11:50,66.245,2.296,0.344,0.0
2024-11-11 17:11:51,65.021,2.304,0.352,0.0
2024-11-11 17:11:52,63.737,2.298,0.341,0.0
2024-11-11 17:11:53,62.335,2.297,0.34,0.0
2024-11-11 17:11:54,60.911,2.301,0.33,0.0
2024-11-11 17:11:55,59.693,2.317,0.32,0.0
2024-11-11 17:11:56,59.512,2.324,0.311,0.0
2024-11-11 17:11:57,60.386,2.347,0.319,0.0
2024-11-11 17:11:58,60.863,2.357,0.311,0.0
2024-11-11 17:11:59,60.734,2.374,0.318,0.0
2024-11-11 17:12:00,60.64,2.368,0.317,0.0
2024-11-11 17:12:01,61.309,2.384,0.309,0.0
2024-11-11 17:12:02,61.729,2.396,0.302,0.0
2024-11-11 17:12:03,61.81,2.393,0.295,0.0
2024-11-11 17:12:04,61.123,2.418,0.295,0.0
2024-11-11 17:12:05,60.194,2.428,0.295,0.0
2024-11-11 17:12:06,59.2,2.444,0.295,0.0
2024-11-11 17:12:07,58.291,2.463,0.289,0.0
2024-11-11 17:12:08,57.869,2.455,0.307,0.0
2024-11-11 17:12:09,58.661,2.445,0.313,0.0
2024-11-11 17:12:10,61.222,2.442,0.324,0.0
2024-11-11 17:12:11,64.681,2.454,0.318,0.0
2024-11-11 17:12:12,67.701,2.463,0.312,0.0
2024-11-11 17:12:13,70.738,2.471,0.306,0.0
2024-11-11 17:12:14,71.341,2.473,0.301,0.0
2024-11-11 17:12:15,71.393,2.464,0.295,0.0
2024-11-11 17:12:16,71.006,2.468,0.3,0.0
2024-11-11 17:12:17,71.535,2.481,0.306,0.0
2024-11-11 17:12:18,71.603,2.475,0.3,0.0
2024-11-11 17:12:19,71.796,2.469,0.305,0.0
2024-11-11 17:12:20,72.305,2.463,0.3,0.0
2024-11-11 17:12:21,93.221,2.88,0.591,0.0
2024-11-11 17:12:22,95.184,2.577,0.296,0.0
2024-11-11 17:12:23,,,,
2024-11-11 17:12:24,88.9,2.652,0.222,0.0
2024-11-11 17:12:25,85.055,2.667,0.177,0.0
2024-11-11 17:12:26,85.97,2.753,0.148,0.0
2024-11-11 17:12:27,83.826,2.641,0.169,0.0
2024-11-11 17:12:28,81.553,2.651,0.221,0.0
2024-11-11 17:12:29,79.13,2.76,0.23,0.0
2024-11-11 17:12:30,84.484,2.712,0.266,0.0
2024-11-11 17:12:31,85.859,2.783,0.269,0.0
2024-11-11 17:12:32,81.907,2.815,0.246,0.0
2024-11-11 17:12:33,76.934,2.773,0.227,0.0
2024-11-11 17:12:34,72.681,2.693,0.211,0.0
2024-11-11 17:12:35,69.028,2.755,0.197,0.0
2024-11-11 17:12:36,66.036,2.762,0.184,0.0
2024-11-11 17:12:37,63.28,2.742,0.174,0.0
2024-11-11 17:12:38,61.326,2.724,0.164,0.0
2024-11-11 17:12:39,59.693,2.755,0.155,0.0
2024-11-11 17:12:40,58.212,2.761,0.162,0.0
2024-11-11 17:12:41,58.292,2.781,0.197,0.0
2024-11-11 17:12:42,58.563,2.737,0.228,0.0
2024-11-11 17:12:43,57.496,2.73,0.218,0.0
2024-11-11 17:12:44,56.512,2.761,0.209,0.0
2024-11-11 17:12:45,55.322,2.759,0.201,0.0
2024-11-11 17:12:46,53.845,2.758,0.227,0.0
2024-11-11 17:12:47,52.375,2.79,0.229,0.0
2024-11-11 17:12:48,51.044,2.814,0.242,0.0
2024-11-11 17:12:49,50.731,2.79,0.244,0.0
2024-11-11 17:12:50,53.091,2.788,0.236,0.0
2024-11-11 17:12:51,54.181,2.811,0.247,0.0
2024-11-11 17:12:52,53.515,2.779,0.258,0.0
2024-11-11 17:12:53,52.609,2.778,0.25,0.0
2024-11-11 17:12:54,53.064,2.763,0.243,0.0
2024-11-11 17:12:55,53.463,2.766,0.236,0.0
2024-11-11 17:12:56,53.231,2.744,0.229,0.0
2024-11-11 17:12:57,52.556,2.718,0.231,0.0
2024-11-11 17:12:58,51.722,2.71,0.225,0.0
2024-11-11 17:12:59,50.857,2.711,0.227,0.0
2024-11-11 17:13:00,49.971,2.711,0.221,0.0
2024-11-11 17:13:01,49.129,2.693,0.23,0.0
2024-11-11 17:13:02,48.717,2.693,0.239,0.0
2024-11-11 17:13:03,49.183,2.694,0.247,0.0
2024-11-11 17:13:04,49.665,2.664,0.255,0.0
2024-11-11 17:13:05,49.953,2.655,0.256,0.0
2024-11-11 17:13:06,49.607,2.653,0.263,0.0
2024-11-11 17:13:07,49.025,2.638,0.27,0.0
2024-11-11 17:13:08,48.396,2.631,0.27,0.0
2024-11-11 17:13:09,47.733,2.623,0.271,0.0
