Datetime,CO2_1,CO2_2,CO2_3,CO2_4
2024-11-11 17:16:58,-50.0,-0.04713171,50.652132,102.31218
2024-11-11 17:16:59,-50.0,-0.046071524,50.652132,102.31218
2024-11-11 17:17:00,-50.0,-0.0447674535,50.652132,102.31218
2024-11-11 17:17:01,-50.0,-0.043438794,50.652132,102.31218
2024-11-11 17:17:02,-50.0,-0.042667369,50.652132,102.31218
2024-11-11 17:17:03,-50.0,-0.042951051500000004,50.652132,102.31218
2024-11-11 17:17:04,-50.0,-0.044308678500000004,50.652132,102.31218
2024-11-11 17:17:05,-50.0,-0.046749832,50.652132,102.31218
2024-11-11 17:17:06,-50.0,-0.048384477999999995,50.652132,102.31218
2024-11-11 17:17:07,-50.0,-0.047787401,50.652132,102.31218
2024-11-11 17:17:08,-50.0,-0.044109828000000004,50.652132,102.31218
2024-11-11 17:17:09,-50.0,-0.037181687000000005,50.652132,102.31218
2024-11-11 17:17:10,-50.0,-0.030398814000000003,50.652132,102.31218
2024-11-11 17:17:11,-50.0,-0.026177046000000002,50.652132,102.31218
2024-11-11 17:17:12,-50.0,-0.0261944315,50.652132,102.31218
2024-11-11 17:17:13,-50.0,-0.0289698345,50.652132,102.31218
2024-11-11 17:17:14,-50.0,-0.0309704635,50.652132,102.31218
2024-11-11 17:17:15,-50.0,-0.0298853535,50.652132,102.31218
2024-11-11 17:17:16,-50.0,-0.0272026905,50.652132,102.31218
2024-11-11 17:17:17,-50.0,-0.025304464999999998,50.652132,102.31218
2024-11-11 17:17:18,-50.0,-0.0270979805,50.652132,102.31218
2024-11-11 17:17:19,-50.0,-0.032783943,50.652132,102.31218
2024-11-11 17:17:20,-50.0,-0.041048441500000005,50.652132,102.31218
2024-11-11 17:17:21,-50.0,-0.0502374525,50.652132,102.31218
2024-11-11 17:17:22,-50.0,-0.058347549,50.652132,102.31218
2024-11-11 17:17:23,-50.0,-0.06431390000000001,50.652132,102.31218
2024-11-11 17:17:24,-50.0,-0.067451028,50.652132,102.31218
2024-11-11 17:17:25,-50.0,-0.069186899,50.652132,102.31218
2024-11-11 17:17:26,-50.0,-0.069941792,50.652132,102.31218
2024-11-11 17:17:27,-50.0,-0.0686163755,50.652132,102.31218
2024-11-11 17:17:28,-50.0,-0.0663730615,50.652132,102.31218
2024-11-11 17:17:29,-50.0,-0.064346792,50.652132,102.31218
2024-11-11 17:17:30,-50.0,-0.06329214799999999,50.652132,102.31218
2024-11-11 17:17:31,-50.0,-0.06271564199999999,50.652132,102.31218
2024-11-11 17:17:32,-50.0,-0.0624975275,50.652132,102.31899
2024-11-11 17:17:33,-50.0,-0.062366077000000006,50.652132,102.3258
2024-11-11 17:17:34,-50.0,-0.062551424,50.652132,102.3258
2024-11-11 17:17:35,-50.0,-0.06314182700000001,50.652132,102.31899
2024-11-11 17:17:36,-50.0,-0.0638827295,50.652132,102.31218
2024-11-11 17:17:37,-50.0,-0.064522945,50.652132,102.31218
2024-11-11 17:17:38,-50.0,-0.06487941450000001,50.652132,102.31218
2024-11-11 17:17:39,-50.0,-0.06483844250000001,50.652132,102.31218
2024-11-11 17:17:40,-50.0,-0.0647553485,50.652132,102.31218
2024-11-11 17:17:41,-50.0,-0.06448946650000001,50.652132,102.31218
2024-11-11 17:17:42,-50.0,-0.0642363445,50.652132,102.31218
2024-11-11 17:17:43,-50.0,-0.064172537,50.652132,102.31218
2024-11-11 17:17:44,-50.0,-0.0642519135,50.652132,102.31218
2024-11-11 17:17:45,-50.0,-0.06433444,50.652132,102.31218
2024-11-11 17:17:46,-50.0,-0.064622583,50.652132,102.31218
2024-11-11 17:17:47,-50.0,-0.0642486495,50.652132,102.31218
2024-11-11 17:17:48,-50.0,-0.061919691,50.652132,102.31218
2024-11-11 17:17:49,-50.0,-0.05742794,50.652132,102.31218
2024-11-11 17:17:50,-50.0,-0.050530619,50.652132,102.31899
2024-11-11 17:17:51,-50.0,-0.042543689499999995,50.652132,102.31218
2024-11-11 17:17:52,-50.0,-0.0363378625,50.652132,102.31218
