Datetime,CONC1,CONC2
2024-07-15 11:45:00,154.47,303.9
2024-07-15 11:46:00,149.57,297.4
2024-07-15 11:47:00,141.83,287.1
2024-07-15 11:48:00,131.66,273.6
2024-07-15 11:49:00,120.66,259.0
2024-07-15 11:50:00,111.75,247.2
2024-07-15 11:51:00,105.69,239.2
2024-07-15 11:52:00,102.28,234.7
2024-07-15 11:53:00,100.54,232.4
2024-07-15 11:54:00,99.5,231.0
2024-07-15 11:55:00,98.51,229.7
2024-07-15 11:56:00,97.81,228.8
2024-07-15 11:57:00,97.21,228.0
2024-07-15 11:58:00,96.42,226.9
2024-07-15 11:59:00,95.52,225.7
2024-07-15 12:00:00,95.07,225.1
2024-07-15 12:01:00,94.8,224.8
2024-07-15 12:02:00,94.65,224.6
2024-07-15 12:03:00,94.67,224.6
2024-07-15 12:04:00,94.63,224.5
2024-07-15 12:05:00,94.44,224.3
2024-07-15 12:06:00,94.08,223.8
2024-07-15 12:07:00,93.8,223.4
2024-07-15 12:08:00,93.46,223.0
2024-07-15 12:09:00,93.31,222.8
2024-07-15 12:10:00,93.29,222.8
2024-07-15 12:11:00,92.06,221.1
2024-07-15 12:12:00,90.91,219.6
2024-07-15 12:13:00,89.67,218.0
2024-07-15 12:14:00,88.63,216.6
2024-07-15 12:15:00,87.36,214.9
2024-07-15 12:16:00,87.26,214.8
2024-07-15 12:17:00,87.07,214.5
2024-07-15 12:18:00,86.73,214.1
2024-07-15 12:19:00,86.4,213.6
2024-07-15 12:20:00,86.35,213.6
2024-07-15 12:21:00,86.32,213.5
2024-07-15 12:22:00,86.27,213.5
2024-07-15 12:23:00,86.3,213.5
2024-07-15 12:24:00,86.33,213.5
2024-07-15 12:25:00,86.36,213.6
2024-07-15 12:26:00,86.46,213.7
2024-07-15 12:27:00,86.67,214.0
2024-07-15 12:28:00,86.62,213.9
2024-07-15 12:29:00,86.73,214.1
2024-07-15 12:30:00,86.76,214.1
2024-07-15 12:31:00,86.73,214.1
2024-07-15 12:32:00,86.81,214.2
2024-07-15 12:33:00,87.02,214.5
2024-07-15 12:34:00,87.2,214.7
2024-07-15 12:35:00,87.46,215.0
2024-07-15 12:36:00,87.8,215.5
2024-07-15 12:37:00,87.93,215.7
2024-07-15 12:38:00,87.71,215.4
2024-07-15 12:39:00,87.61,215.2
2024-07-15 12:40:00,87.61,215.2
2024-07-15 12:41:00,85.91,213.0
2024-07-15 12:42:00,83.96,210.4
2024-07-15 12:43:00,82.23,208.1
2024-07-15 12:44:00,80.59,205.9
2024-07-15 12:45:00,78.74,203.5
2024-07-15 12:46:00,78.94,203.7
2024-07-15 12:47:00,78.77,203.5
2024-07-15 12:48:00,78.58,203.3
2024-07-15 12:49:00,78.62,203.3
2024-07-15 12:50:00,78.72,203.4
2024-07-15 12:51:00,78.43,203.1
2024-07-15 12:52:00,78.58,203.3
2024-07-15 12:53:00,78.38,203.0
2024-07-15 12:54:00,78.13,202.7
2024-07-15 12:55:00,77.89,202.3
2024-07-15 12:56:00,77.73,202.1
2024-07-15 12:57:00,77.64,202.0
2024-07-15 12:58:00,77.52,201.9
2024-07-15 12:59:00,77.36,201.6
