Datetime,number,diam,LDSA,surface,mass,A1,A2,idiff,HV,EM1,EM2,DV,T,RH,P,flow,bat,Ipump,error,PWMpump
2025-01-07 12:23:24,4185,50,11.7,75.78,2.13,1.888,0.983,0.0,280,-1.68,0.12,361,19.6,0,1007.0,0.5,4.19,16.0,0,54
2025-01-07 12:23:25,4522,45,11.17,64.94,1.63,1.802,0.851,2.01,3524,3.11,1.99,360,19.6,43,1007.0,0.5,4.19,16.4,0,54
2025-01-07 12:23:26,4067,48,10.81,66.95,1.8,1.743,0.873,0.0,283,-1.43,-0.5,363,19.6,43,997.2,0.5,4.19,16.0,0,54
2025-01-07 12:23:27,2865,59,9.49,71.19,2.35,1.531,0.893,2.0,3523,3.23,1.93,361,19.6,43,997.2,0.5,4.19,16.24,0,54
2025-01-07 12:23:28,3155,53,9.33,63.45,1.88,1.505,0.816,0.0,279,-1.61,-0.87,359,19.6,39,997.2,0.5,4.19,15.76,0,54
2025-01-07 12:23:29,3050,54,9.19,63.47,1.91,1.482,0.813,1.98,3524,2.92,1.74,359,19.6,39,997.1,0.5,4.19,15.8,0,54
2025-01-07 12:23:30,3207,53,9.5,64.63,1.92,1.532,0.831,0.0,280,-1.24,-0.56,360,19.6,39,997.1,0.5,4.19,16.2,0,54
2025-01-07 12:23:31,2892,56,9.08,64.99,2.04,1.464,0.826,1.99,3528,3.1,1.61,359,19.6,38,997.1,0.499,4.2,16.0,0,54
2025-01-07 12:23:32,2760,57,8.81,63.96,2.04,1.421,0.81,0.0,279,-1.3,-0.56,360,19.6,38,996.9,0.499,4.19,16.12,0,54
2025-01-07 12:23:33,2854,53,8.51,58.31,1.74,1.373,0.748,1.99,3524,2.98,1.61,359,19.6,38,996.9,0.499,4.19,16.36,0,54
2025-01-07 12:23:34,2447,59,8.09,60.52,1.99,1.304,0.76,0.0,281,-1.3,-0.81,360,19.5,37,996.9,0.5,4.19,16.04,0,54
2025-01-07 12:23:35,2691,54,8.15,56.52,1.71,1.314,0.724,2.0,3523,2.92,1.55,360,19.5,37,997.2,0.5,4.19,16.36,0,54
2025-01-07 12:23:36,2905,50,8.05,51.65,1.44,1.298,0.671,0.0,279,-1.3,-0.43,360,19.5,37,997.2,0.5,4.19,15.96,0,54
2025-01-07 12:23:37,2620,52,7.6,50.74,1.48,1.225,0.655,2.02,3526,2.79,1.37,360,19.6,37,997.2,0.5,4.19,16.56,0,54
2025-01-07 12:23:38,2360,54,7.14,49.52,1.5,1.152,0.634,0.0,280,-1.24,-0.43,360,19.6,37,996.9,0.5,4.2,15.88,0,54
2025-01-07 12:23:39,2409,53,7.2,49.39,1.48,1.161,0.634,2.02,3523,2.86,1.49,359,19.6,37,996.9,0.501,4.19,15.76,0,54
2025-01-07 12:23:40,2893,48,7.64,47.04,1.25,1.232,0.614,0.0,281,-1.43,-0.37,360,19.5,37,996.9,0.499,4.19,16.04,0,54
2025-01-07 12:23:41,3262,45,8.09,47.17,1.19,1.305,0.618,2.01,3523,12.11,2.17,360,19.5,37,997.0,0.501,4.19,16.12,0,54
2025-01-07 12:23:42,622,150,5.6,100.17,8.41,0.903,0.777,0.0,280,-1.18,-0.81,359,19.5,37,997.0,0.5,4.19,15.88,0,54
2025-01-07 12:23:43,2349,64,8.45,68.12,2.43,1.363,0.835,2.0,3524,2.48,2.05,359,19.6,36,997.0,0.5,4.19,16.32,0,54
2025-01-07 12:23:44,2856,47,7.49,45.85,1.21,1.208,0.599,0.0,281,-2.86,-0.75,360,19.6,36,997.3,0.5,4.2,16.36,0,54
2025-01-07 12:23:45,2016,54,6.09,42.12,1.27,0.982,0.539,1.99,3524,2.55,1.43,359,19.6,36,997.3,0.499,4.19,16.56,0,54
2025-01-07 12:23:46,1559,66,5.84,48.67,1.8,0.941,0.589,0.0,276,-1.68,-0.5,360,19.5,36,997.3,0.5,4.19,16.32,0,54
