Datetime,CONC1,CONC2
2025-01-07 10:54:00,163.6,316.0
2025-01-07 10:55:00,165.97,319.1
2025-01-07 10:56:00,168.58,322.6
2025-01-07 10:57:00,168.86,323.0
2025-01-07 10:58:00,,321.2
2025-01-07 10:59:00,164.09,316.6
2025-01-07 11:00:00,159.23,
2025-01-07 11:01:00,153.85,303.1
2025-01-07 11:02:00,149.94,297.9
2025-01-07 11:03:00,146.68,293.5
2025-01-07 11:04:00,143.51,289.3
2025-01-07 11:05:00,140.54,285.4
2025-01-07 11:06:00,137.87,281.9
2025-01-07 11:07:00,135.5,278.7
2025-01-07 11:08:00,133.07,275.5
2025-01-07 11:09:00,130.65,272.3
2025-01-07 11:10:00,128.68,269.7
2025-01-07 11:11:00,126.95,267.4
2025-01-07 11:12:00,125.9,266.0
2025-01-07 11:13:00,125.01,264.8
2025-01-07 11:14:00,124.13,263.6
2025-01-07 11:15:00,123.28,262.5
2025-01-07 11:16:00,122.63,261.7
2025-01-07 11:17:00,121.99,260.8
2025-01-07 11:18:00,121.34,260.0
2025-01-07 11:19:00,121.28,259.9
2025-01-07 11:20:00,121.26,259.8
2025-01-07 11:21:00,120.96,259.5
2025-01-07 11:22:00,120.79,259.2
2025-01-07 11:23:00,,258.6
2025-01-07 11:24:00,119.99,258.2
2025-01-07 11:25:00,119.35,257.3
2025-01-07 11:26:00,118.93,256.8
2025-01-07 11:27:00,118.43,256.1
2025-01-07 11:28:00,118.15,255.7
2025-01-07 11:29:00,118.07,255.6
2025-01-07 11:30:00,117.94,255.4
2025-01-07 11:31:00,117.85,255.3
2025-01-07 11:32:00,117.98,255.5
2025-01-07 11:33:00,117.87,255.4
2025-01-07 11:34:00,117.92,255.4
2025-01-07 11:35:00,117.99,255.5
2025-01-07 11:36:00,117.66,255.1
2025-01-07 11:37:00,117.5,254.9
2025-01-07 11:38:00,117.27,254.6
2025-01-07 11:39:00,317.03,254.2
2025-01-07 11:40:00,116.9,254.1
2025-01-07 11:41:00,116.85,254.0
2025-01-07 11:42:00,116.77,253.9
2025-01-07 11:43:00,116.4,253.4
2025-01-07 11:44:00,116.56,253.6
2025-01-07 11:45:00,116.21,253.2
2025-01-07 11:46:00,115.79,252.6
2025-01-07 11:47:00,115.51,
2025-01-07 11:48:00,115.04,251.6
2025-01-07 11:49:00,114.74,251.2
2025-01-07 11:50:00,,250.9
2025-01-07 11:51:00,114.25,250.5
2025-01-07 11:52:00,113.89,250.1
2025-01-07 11:53:00,113.34,249.3
2025-01-07 11:54:00,113.01,248.9
2025-01-07 11:55:00,112.91,248.8
2025-01-07 11:56:00,112.67,248.5
2025-01-07 11:57:00,112.53,248.3
2025-01-07 11:58:00,112.46,248.2
2025-01-07 11:59:00,112.32,248.0
2025-01-07 12:00:00,111.98,247.5
2025-01-07 12:01:00,111.91,247.4
2025-01-07 12:02:00,111.84,247.4
2025-01-07 12:03:00,,247.6
2025-01-07 12:04:00,111.95,247.5
2025-01-07 12:05:00,,247.6
2025-01-07 12:06:00,111.66,247.1
2025-01-07 12:07:00,111.46,246.9
2025-01-07 12:08:00,,246.6
2025-01-07 12:09:00,111.14,246.4
2025-01-07 12:10:00,111.19,246.5
2025-01-07 12:11:00,111.28,246.6
2025-01-07 12:12:00,111.22,246.5
2025-01-07 12:13:00,111.2,246.5
2025-01-07 12:14:00,111.36,246.7
2025-01-07 12:15:00,111.11,246.4
2025-01-07 12:16:00,111.17,246.5
2025-01-07 12:17:00,111.11,246.4
2025-01-07 12:18:00,111.02,246.3
2025-01-07 12:19:00,111.07,246.3
2025-01-07 12:20:00,110.84,246.0
2025-01-07 12:21:00,110.6,245.7
2025-01-07 12:22:00,110.05,245.0
2025-01-07 12:23:00,109.28,244.0
2025-01-07 12:24:00,108.49,242.9
2025-01-07 12:25:00,108.03,242.3
2025-01-07 12:26:00,107.79,242.0
2025-01-07 12:27:00,107.89,242.1
2025-01-07 12:28:00,108.3,242.7
2025-01-07 12:29:00,108.5,242.9
2025-01-07 12:30:00,108.99,
2025-01-07 12:31:00,108.98,243.6
2025-01-07 12:32:00,108.6,243.1
2025-01-07 12:33:00,108.69,243.2
2025-01-07 12:34:00,108.71,243.2
2025-01-07 12:35:00,108.42,242.8
2025-01-07 12:36:00,108.66,243.1
2025-01-07 12:37:00,108.74,243.2
2025-01-07 12:38:00,108.28,242.6
2025-01-07 12:39:00,107.99,242.2
2025-01-07 12:40:00,107.69,241.8
2025-01-07 12:41:00,107.26,241.3
